https://courtlistener.com/docket/6359557/united-states-v-schulte 

May ??, 2008 | Schulte begins work as an engineer for IBM; ends 11/2009 bit.ly/2IzDIEW
Aug 08, 2018 | Transcript of proceedings #10; filed 10/4/18; pdf 12 pages bit.ly/2Ev99fG
Aug 08, 2018 | Counsel for Schulte requests Brady disclosure bit.ly/2QovKgw
Aug 16, 2018 | Letter re: issues raised by defense counsel on 8/8/2018 bit.ly/2S0xXjD
Sep 25, 2018 | Guards strip-search Schulte, bring in drug-sniffing dog to search his cell in early AM of his birthday bit.ly/2VRfoQK
Oct ??, 2018 | Govt learns early Oct 2018 that Schulte's been using cell phones to send classified data to 3rd parties bit.ly/2HetMyY
Oct 01, 2018 | Schulte moved to a more restrictive setting ("the box") at the MCC bit.ly/2TFquur, bit.ly/2ESxhYw
Oct 08, 2018 | Schulte's writings are published on his behalf on WordPress ("Presumption of Innocence") bit.ly/2U4fYtV
Oct 22, 2018 | Schulte visits the "FBI Area" the week of October 22nd, 2018 bit.ly/2UpXkg6
Oct 23, 2018 | Schulte's handwritten 4-page letter to Judge Crotty is postmarked from an unknown location bit.ly/2Hrpnbe
Oct 29, 2018 | Schulte's handwritten 4-page letter to Judge Crotty is uploaded to PACER; quickly deleted bit.ly/2CTCLlK, bit.ly/2LVM5bH
Oct 31, 2018 | Govt letter to Judge Crotty; cc's Schulte's defense counsel; filed 10/31/18; 4 pages pdf bit.ly/2HrX3Wy
Oct 31, 2018 | Superseding indictment; filed 10/31/18; pdf 15 pages bit.ly/2VwAeWa
Nov 02, 2018 | Transcript of proceedings #11; filed 11/14/18; pdf 15 pages bit.ly/2NpceR2
Dec 12, 2018 | Govt requests the Court enter in a supplemental protective order relating to classified discovery bit.ly/2HeEYeZ
Dec 12, 2018 | Supplemental Protective Order; imposes strict rules for viewing discovery; pdf 4 pages bit.ly/2UzuSZu

Feb 05, 2019 | Court proceedings; transcript not yet filed 
Feb 12, 2019 | Govt letter to Judge Crotty; addresses 2/5/19 hearing where discovery material was lost at the MCC bit.ly/2VVyQvL
Feb 14, 2019 | Govt letter to Judge Crotty; update to CIPA order concerning potential witnesses requested by defense bit.ly/2XOQwLi
